"daysort","cpp","sn","id","si","date","hpc","year","month","day"
1,5.709498,"Sentinel-2B","20190110T030109_20190110T030617_T50SNJ",0.89583,2019-01-10 03:06:58,0.101353,"2019","01","10 03:06:58"
2,18.444253,"Sentinel-2B","20190120T030029_20190120T030245_T50SNH",0.55682,2019-01-20 03:07:13,0.101519,"2019","01","20 03:07:13"
3,7.190385,"Sentinel-2A","20190125T030011_20190125T030601_T50SNJ",0.465424,2019-01-25 03:06:55,0.197349,"2019","01","25 03:06:55"
4,4.970365,"Sentinel-2A","20190125T030011_20190125T030601_T50SNH",0.301555,2019-01-25 03:07:10,0.055481,"2019","01","25 03:07:10"
5,8.443396,"Sentinel-2A","20190204T025921_20190204T030510_T50SNJ",0.440991,2019-02-04 03:06:56,0.813982,"2019","02","04 03:06:56"
6,2.951045,"Sentinel-2A","20190306T025601_20190306T030410_T50SNH",0.000126,2019-03-06 03:07:08,0.319584,"2019","03","06 03:07:08"
7,1.709957,"Sentinel-2B","20190311T025539_20190311T025954_T50SNJ",0.00153,2019-03-11 03:06:56,0.131692,"2019","03","11 03:06:56"
8,0.707469,"Sentinel-2B","20190311T025539_20190311T025954_T50SNH",0.000166,2019-03-11 03:07:11,0.047276,"2019","03","11 03:07:11"
9,4.30043,"Sentinel-2A","20190316T025541_20190316T030116_T50SNJ",0.000747,2019-03-16 03:06:55,0.226489,"2019","03","16 03:06:55"
10,10.559679,"Sentinel-2A","20190316T025541_20190316T030116_T50SNH",0.000474,2019-03-16 03:07:10,0.048112,"2019","03","16 03:07:10"
11,4.638935,"Sentinel-2B","20190321T025549_20190321T030520_T50SNJ",0.004263,2019-03-21 03:06:58,0.224479,"2019","03","21 03:06:58"
12,5.044243,"Sentinel-2B","20190321T025549_20190321T030520_T50SNH",0.001038,2019-03-21 03:07:13,0.071519,"2019","03","21 03:07:13"
13,7.347271,"Sentinel-2A","20190326T025541_20190326T030415_T50SNJ",0.003338,2019-03-26 03:06:58,0.08717,"2019","03","26 03:06:58"
14,6.670422,"Sentinel-2A","20190326T025541_20190326T030415_T50SNH",0.000156,2019-03-26 03:07:12,0.030859,"2019","03","26 03:07:12"
15,3.415242,"Sentinel-2B","20190331T035549_20190331T025644_T50SNJ",0.001131,2019-03-31 03:07:01,0.221078,"2019","03","31 03:07:01"
16,2.424082,"Sentinel-2B","20190331T035549_20190331T025644_T50SNH",0,2019-03-31 03:07:09,0.086586,"2019","03","31 03:07:09"
17,3.273511,"Sentinel-2B","20190331T035549_20190331T030704_T50SNJ",0,2019-03-31 03:07:09,0.193831,"2019","03","31 03:07:09"
18,4.276005,"Sentinel-2B","20190331T035549_20190331T030704_T50SNH",0.000636,2019-03-31 03:07:16,0.079135,"2019","03","31 03:07:16"
19,8.326488,"Sentinel-2A","20190405T025551_20190405T030457_T50SNH",0.000169,2019-04-05 03:07:14,0.041689,"2019","04","05 03:07:14"
20,7.118102,"Sentinel-2B","20190410T025549_20190410T030127_T50SNJ",0.001314,2019-04-10 03:07:03,0.2591,"2019","04","10 03:07:03"
21,2.091351,"Sentinel-2A","20190415T025551_20190415T030136_T50SNJ",0.001593,2019-04-15 03:07:01,0.211353,"2019","04","15 03:07:01"
22,1.45742,"Sentinel-2A","20190415T025551_20190415T030136_T50SNH",0.001138,2019-04-15 03:07:16,0.066845,"2019","04","15 03:07:16"
23,3.96636,"Sentinel-2B","20190430T025549_20190430T025945_T50SNJ",0.002502,2019-04-30 03:07:06,1.277687,"2019","04","30 03:07:06"
24,4.755691,"Sentinel-2B","20190430T025549_20190430T025945_T50SNH",4.3e-05,2019-04-30 03:07:21,0.239001,"2019","04","30 03:07:21"
25,14.132445,"Sentinel-2A","20190515T025551_20190515T030138_T50SNJ",0.002591,2019-05-15 03:07:02,0.200308,"2019","05","15 03:07:02"
26,2.560471,"Sentinel-2B","20190520T025559_20190520T025647_T50SNJ",0.002113,2019-05-20 03:07:07,0.431061,"2019","05","20 03:07:07"
27,4.979363,"Sentinel-2B","20190520T025559_20190520T025647_T50SNH",0.001194,2019-05-20 03:07:22,0.16913,"2019","05","20 03:07:22"
28,1.637984,"Sentinel-2A","20190525T025551_20190525T030137_T50SNJ",0.002286,2019-05-25 03:07:02,0.186466,"2019","05","25 03:07:02"
29,1.999725,"Sentinel-2A","20190525T025551_20190525T030137_T50SNH",0.000156,2019-05-25 03:07:16,0.068905,"2019","05","25 03:07:16"
30,11.247589,"Sentinel-2B","20190609T025549_20190609T030236_T50SNJ",0.002638,2019-06-09 03:07:06,3.775678,"2019","06","09 03:07:06"
31,4.434026,"Sentinel-2B","20190609T025549_20190609T030236_T50SNH",0.000382,2019-06-09 03:07:21,1.316595,"2019","06","09 03:07:21"
32,2.087229,"Sentinel-2A","20190614T025551_20190614T030137_T50SNJ",0.002774,2019-06-14 03:07:02,0.286675,"2019","06","14 03:07:02"
33,2.105219,"Sentinel-2A","20190614T025551_20190614T030137_T50SNH",9e-05,2019-06-14 03:07:16,0.038115,"2019","06","14 03:07:16"
34,2.846912,"Sentinel-2A","20190624T025551_20190624T030138_T50SNJ",0.003729,2019-06-24 03:07:03,0.141629,"2019","06","24 03:07:03"
35,4.090268,"Sentinel-2A","20190624T025551_20190624T030138_T50SNH",0.000319,2019-06-24 03:07:17,0.036699,"2019","06","24 03:07:17"
